dataset,KNN,LR,RF,NB,GB,ADA
covid19_1_of_69,0.9346581934846989,0.9391329817633917,0.9449895005282208,0.906496142255936,0.9505825150239865,0.9464371070816231
covid19_2_of_69,0.928340975216917,0.9338026488976638,0.9418304800748167,0.9026121819850713,0.9488713609047297,0.9453842373703261
covid19_3_of_69,0.9282756187111412,0.9309074790876501,0.9391985980499126,0.9184056173256439,0.9461079865260388,0.942949442337334
covid19_4_of_69,0.9276177672710899,0.9345266145373305,0.943476234391507,0.8860308532931539,0.9493327098595452,0.9474902582220606
covid19_5_of_69,0.9289992596248766,0.9351185249649296,0.9428180149287335,0.8799765331393636,0.9509772735144871,0.9472925650750768
covid19_6_of_69,0.9268279255641572,0.9358424906045965,0.9428178417415701,0.8955722753329523,0.949529775203062,0.9470950667636515
covid19_7_of_69,0.9247217315252595,0.9321574141424638,0.9444627084740478,0.8992566806948268,0.950121577388684,0.9481475251554354
covid19_8_of_69,0.9307098941826432,0.9349873573370742,0.9443967458132004,0.873659682894304,0.9507796020158986,0.9461075102613394
covid19_9_of_69,0.9290650707469561,0.9369614312187181,0.9425549436275784,0.8934664709651721,0.9473585060875289,0.9468981962556935
covid19_10_of_69,0.9272219047124228,0.9334075007360454,0.9436068608094768,0.9291303839559412,0.9503186643805961,0.9448569041062675
covid19_11_of_69,0.9317623958712179,0.9366320508823887,0.944265426646577,0.8965594205157513,0.9477533944684019,0.943409990301519
covid19_12_of_69,0.9289999090767391,0.9333417329107567,0.9399881583277049,0.9107723931002234,0.9459109861277082,0.9443313893074246
covid19_13_of_69,0.9263014798843109,0.9357108900088326,0.944265426646577,0.9208390268613289,0.9492004814603142,0.9458446337957429
covid19_14_of_69,0.9313021726329644,0.934526636185726,0.940975108674945,0.8880691363156163,0.9482791906963856,0.9465681448191059
covid19_15_of_69,0.9300517613134515,0.9340004502866247,0.9420936379695537,0.8981382812905908,0.9488716639822655,0.9461081164164111
covid19_16_of_69,0.9250506788936803,0.9359085398590257,0.942751489409605,0.8961627569664536,0.9488053332986958,0.944594374014998
covid19_17_of_69,0.9347904868291161,0.9380142792816197,0.9450550951663462,0.9105093217990683,0.9510430196913804,0.9467658163176946
covid19_18_of_69,0.929723160319357,0.9367639978524792,0.9426207547496579,0.8836617827886597,0.9481481529589028,0.9445945904989521
covid19_19_of_69,0.9307096560502934,0.9377509049029286,0.9443311944718656,0.8804370811035487,0.9507137043002374,0.9483452832476058
covid19_20_of_69,0.9305126773003586,0.9374876387662148,0.9413700187042137,0.9193916800886719,0.9501875400495315,0.9443970705391316
covid19_21_of_69,0.9300520427425919,0.9346581718363035,0.942028346408964,0.8772127041443689,0.9480161410436259,0.9436734296253964
covid19_22_of_69,0.9291307519786633,0.9350533199979217,0.9401196939782823,0.8795811468453959,0.9483455863251417,0.9470292772899672
covid19_23_of_69,0.9294595045115255,0.9351186765036976,0.9442654699433678,0.9054416705633777,0.9485424351847043,0.9455815624945879
covid19_24_of_69,0.9305782502900886,0.9380144308203876,0.9434757148300168,0.8914909033442442,0.9511087225714829,0.9483451100604423
covid19_25_of_69,0.9330785533676244,0.9375532550527355,0.9454495072825203,0.8764895394953326,0.9505158596144854,0.9491999186020331
covid19_26_of_69,0.9301832320188428,0.935250147209089,0.9440674953672433,0.8966255780121577,0.9512396953637797,0.9478182314126877
covid19_27_of_69,0.9316974073881644,0.937619520791119,0.9433447420377202,0.8980713011551582,0.949595867754282,0.9456481529589027
covid19_28_of_69,0.9288675291387403,0.9345263547565855,0.9445283680573595,0.925380167471987,0.9503189891065273,0.947357899932457
covid19_29_of_69,0.9299205287404098,0.9395935080791811,0.9439361112554338,0.9197204109731387,0.9497265807658335,0.9461736894061412
covid19_30_of_69,0.9280121793872638,0.9351189795812335,0.9422255849396443,0.893728091823834,0.9486083545487608,0.9465026367745623
covid19_31_of_69,0.9305122010356592,0.9365007533641607,0.9441997454148698,0.8820819911328173,0.9497267106562062,0.9461077267452935
covid19_32_of_69,0.9286700957725014,0.9353821374759702,0.9422914826553056,0.9232736703555531,0.9490032645780294,0.9468974602102491
