dataset,v1,v2,v3,v4,v5,v6
diabetes_1_of_4,LR,NB,GB,RF,ADA,KNN
diabetes_2_of_4,NB,RF,GB,ADA,LR,KNN
diabetes_3_of_4,RF,GB,LR,NB,KNN,ADA
diabetes_4_of_4,LR,NB,ADA,RF,GB,KNN
symptoms_1_of_4,RF,GB,KNN,NB,LR,ADA
symptoms_2_of_4,RF,GB,KNN,LR,NB,ADA
symptoms_3_of_4,RF,GB,KNN,LR,NB,ADA
symptoms_4_of_4,RF,GB,KNN,LR,NB,ADA
stroke_1_of_4,LR,RF,GB,ADA,KNN,NB
stroke_2_of_4,LR,RF,ADA,GB,KNN,NB
stroke_3_of_4,LR,RF,ADA,GB,KNN,NB
stroke_4_of_4,RF,LR,GB,ADA,KNN,NB
hepatitisC_1_of_4,RF,LR,GB,NB,KNN,ADA
hepatitisC_2_of_4,RF,GB,LR,ADA,NB,KNN
hepatitisC_3_of_4,LR,KNN,RF,NB,GB,ADA
hepatitisC_4_of_4,GB,NB,RF,LR,KNN,ADA
heartDisease_1_of_4,RF,NB,ADA,GB,LR,KNN
heartDisease_2_of_4,RF,NB,GB,LR,ADA,KNN
heartDisease_3_of_4,NB,RF,LR,GB,ADA,KNN
heartDisease_4_of_4,LR,GB,RF,NB,ADA,KNN
indianLiver_1_of_4,LR,NB,RF,ADA,GB,KNN
indianLiver_2_of_4,ADA,RF,LR,GB,NB,KNN
indianLiver_3_of_4,LR,RF,GB,KNN,ADA,NB
indianLiver_4_of_4,LR,ADA,KNN,GB,RF,NB
wisconsin_1_of_4,ADA,NB,LR,RF,GB,KNN
wisconsin_2_of_4,LR,RF,ADA,NB,KNN,GB
wisconsin_3_of_4,LR,RF,NB,ADA,KNN,GB
wisconsin_4_of_4,NB,RF,ADA,LR,GB,KNN
hypothyroid_1_of_4,GB,ADA,RF,LR,KNN,NB
hypothyroid_2_of_4,GB,ADA,RF,LR,KNN,NB
hypothyroid_3_of_4,GB,ADA,RF,LR,KNN,NB
hypothyroid_4_of_4,GB,ADA,RF,LR,KNN,NB
framingham_1_of_4,LR,RF,GB,KNN,ADA,NB
framingham_2_of_4,RF,GB,LR,ADA,NB,KNN
framingham_3_of_4,LR,GB,RF,ADA,KNN,NB
framingham_4_of_4,LR,RF,GB,KNN,ADA,NB
breastCancer_1_of_4,ADA,NB,RF,LR,GB,KNN
breastCancer_2_of_4,LR,ADA,NB,RF,GB,KNN
breastCancer_3_of_4,LR,RF,NB,ADA,KNN,GB
breastCancer_4_of_4,NB,RF,ADA,LR,GB,KNN
autism_1_of_4,RF,GB,ADA,LR,NB,KNN
autism_2_of_4,RF,GB,ADA,LR,NB,KNN
autism_3_of_4,LR,RF,GB,ADA,NB,KNN
autism_4_of_4,RF,GB,ADA,LR,NB,KNN
heartBeat_1_of_4,KNN,GB,ADA,RF,LR,NB
heartBeat_2_of_4,KNN,GB,ADA,RF,LR,NB
heartBeat_3_of_4,GB,ADA,KNN,RF,LR,NB
heartBeat_4_of_4,KNN,GB,ADA,RF,LR,NB
stress_1_of_4,LR,RF,NB,GB,ADA,KNN
stress_2_of_4,LR,RF,NB,GB,KNN,ADA
stress_3_of_4,LR,NB,RF,GB,ADA,KNN
stress_4_of_4,LR,RF,NB,GB,ADA,KNN
fetalHealth_1_of_4,GB,RF,ADA,LR,KNN,NB
fetalHealth_2_of_4,GB,RF,LR,KNN,ADA,NB
fetalHealth_3_of_4,GB,RF,LR,ADA,KNN,NB
fetalHealth_4_of_4,GB,RF,LR,KNN,ADA,NB
fetalCardio_1_of_4,GB,RF,ADA,KNN,NB,LR
fetalCardio_2_of_4,GB,RF,ADA,LR,KNN,NB
fetalCardio_3_of_4,RF,ADA,GB,NB,LR,KNN
fetalCardio_4_of_4,GB,RF,LR,KNN,ADA,NB
diabetes2019_1_of_4,RF,GB,LR,ADA,NB,KNN
diabetes2019_2_of_4,LR,RF,ADA,GB,NB,KNN
diabetes2019_3_of_4,RF,LR,GB,NB,ADA,KNN
diabetes2019_4_of_4,LR,RF,GB,ADA,NB,KNN
thoracic_1_of_4,RF,LR,GB,KNN,ADA,NB
thoracic_2_of_4,RF,LR,KNN,GB,ADA,NB
thoracic_3_of_4,RF,LR,KNN,ADA,GB,NB
thoracic_4_of_4,RF,LR,GB,KNN,ADA,NB
cervicalCancer_1_of_4,RF,GB,KNN,ADA,LR,NB
cervicalCancer_2_of_4,RF,ADA,GB,KNN,LR,NB
cervicalCancer_3_of_4,RF,KNN,ADA,GB,LR,NB
cervicalCancer_4_of_4,LR,RF,GB,ADA,KNN,NB
epilepsy_1_of_4,RF,NB,GB,ADA,KNN,LR
epilepsy_2_of_4,RF,GB,NB,ADA,KNN,LR
epilepsy_3_of_4,RF,NB,GB,ADA,KNN,LR
epilepsy_4_of_4,RF,NB,GB,ADA,KNN,LR
